Ts 8c As 2c 3s Qs Ks, Ts 8c As 2c 3s Kh Jd, [Qs Kc 8s 6c 7s As Js], [Qs Kc 8s 6c 7s Jh Td]
3s 8c Jc Kh 2c Qh Js, 3s 8c Jc Kh 2c Qd 4c, [7s Kc Tc Jh 6c Ah Ts], [7s Kc Tc Jh 6c Ad 9c]
4c 3d Js Ks 5d Jd 7d, 4c 3d Js Ks 5d 2d 4d, [9c 7d Ts Js 4d Td 2d], [9c 7d Ts Js 4d 6d 9d]
5c 5d 7s Js 4s 9s Jh, 5c 5d 7s Js 4s 2h Kh, [4c 4d 2s Ts 9s 5s Th], [4c 4d 2s Ts 9s 6h Jh]
Qc Qh 4c 8h 2d Kh Ah, Qc Qh 4c 8h 2d 5c 6c, [Ac Ah 9c Kh 6d Jh 8h], [Ac Ah 9c Kh 6d 4c 3c]
5h 2s Ad 2c 7c Qc 3c, 5h 2s Ad 2c 7c 9d 4d, [4h 6s 8d 6c 2c Ac 7c], [4h 6s 8d 6c 2c 5d 9d]
7d Kh Qs 2d 8c 3h Qc, 7d Kh Qs 2d 8c 7s 4h, [2d Jh As 6d Kc 7h Ac], [2d Jh As 6d Kc 2s 9h]
4h 3h 6h Kh Ks Ts Jh, 4h 3h 6h Kh Ks 6c 2s, [9h 7h 3h Jh Js Qs Th], [9h 7h 3h Jh Js 3c 6s]
8h Jh 9c 8c Qh 4h Qs, 8h Jh 9c 8c Qh 6h Kd, [Kh Th 5c Kc Ah 9h As], [Kh Th 5c Kc Ah 3h Jd]
6d 7d 8h Qc Kc Js Qd, 6d 7d 8h Qc Kc 2d Ah, [3d 2d Kh Ac Jc Ts Ad], [3d 2d Kh Ac Jc 6d 8h]
As 5h 5s Qd 3s 2h 3d, As 5h 5s Qd 3s 6d Kc, [8s 4h 4s Ad 7s 6h 7d], [8s 4h 4s Ad 7s 3d Jc]
3s Jh 9d 7c 4h 2s Qs, 3s Jh 9d 7c 4h Ad 5h, [7s Th 5d 2c 9h 6s As], [7s Th 5d 2c 9h 8d 4h]
